numero_arrete,titre,autorite_responsable,signataire,date_publication,date_signature,poids_pdf_ko,concerne_circulation,concerne_stationnement,est_temporaire,explnum_id,pdf_s3_url,date_scrape
2025 T 17918,"Arrêté n° 2025 T 17918 modifiant, à titre provisoire, les règles de stationnement rue du Parc de Montsouris, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,49,False,True,True,44441,s3://parisarretes/arretes/2025/2025_T_17918_445483ab.pdf,2025-10-25T08:14:32.811918
2025 T 17785,"Arrêté n° 2025 T 17785 modifiant, à titre provisoire, les règles de stationnement, rue Lourmel, à Paris 15e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,17/10/2025,103,False,True,True,44442,s3://parisarretes/arretes/2025/2025_T_17785_48923ecc.pdf,2025-10-25T08:14:32.811418
2025 T 17858,"Arrêté n° 2025 T 17858 modifiant, à titre provisoire, les règles de stationnement et de circulation, rue Saint-Charles, à Paris 15e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,21/10/2025,108,True,True,True,44443,s3://parisarretes/arretes/2025/2025_T_17858_8eb62201.pdf,2025-10-25T08:14:32.810788
2025 T 17911,"Arrêté n° 2025 T 17911 modifiant, à titre provisoire, les règles de stationnement rue Crozatier, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,24/10/2025,23/10/2025,50,False,True,True,44437,s3://parisarretes/arretes/2025/2025_T_17911_62748966.pdf,2025-10-25T08:14:32.813874
2025 E 17943,"Arrêté n° 2025 E 17943 modifiant, à titre provisoire, les règles de stationnement rue du Grand Prieuré, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,49,False,True,True,44438,s3://parisarretes/arretes/2025/2025_E_17943_987c109d.pdf,2025-10-25T08:14:32.813559
2025 T 17877,"Arrêté n° 2025 T 17877 modifiant, à titre provisoire, les règles de stationnement rue de l'Aude, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,21/10/2025,49,False,True,True,44439,s3://parisarretes/arretes/2025/2025_T_17877_9ee5270f.pdf,2025-10-25T08:14:32.813013
2025 T 17914,"Arrêté n° 2025 T 17914 modifiant, à titre provisoire, les règles de stationnement et de circulation générale rue de Bercy et rue de Pommard, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,24/10/2025,23/10/2025,52,True,True,True,44440,s3://parisarretes/arretes/2025/2025_T_17914_f1b8cf7b.pdf,2025-10-25T08:14:32.812403
2025 T 17905,"Arrêté n° 2025 T 17905 modifiant, à titre provisoire, les règles de stationnement et de circulation générale avenue Maurice d'Ocagne, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,60,True,True,True,44434,s3://parisarretes/arretes/2025/2025_T_17905_01202036.pdf,2025-10-25T08:14:32.814727
2025 T 17908,"Arrêté n° 2025 T 17908 modifiant, à titre provisoire, les règles de stationnement rue de Charenton, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,24/10/2025,23/10/2025,50,False,True,True,44436,s3://parisarretes/arretes/2025/2025_T_17908_b9b785cb.pdf,2025-10-25T08:14:32.814159
2025 T 17906,"Arrêté n° 2025 T 17906 modifiant, à titre provisoire, les règles de stationnement avenue Dorian, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,24/10/2025,23/10/2025,50,False,True,True,44435,s3://parisarretes/arretes/2025/2025_T_17906_30e25f17.pdf,2025-10-25T08:14:32.814441
2025 E 17913,"Arrêté n° 2025 E 17913 modifiant, à titre provisoire, les règles de stationnement boulevard Edgar Quinet, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,50,False,True,True,44430,s3://parisarretes/arretes/2025/2025_E_17913_a52ddfd7.pdf,2025-10-25T08:15:04.455307
2025 T 17903,"Arrêté n° 2025 T 17903 modifiant, à titre provisoire, les règles de stationnement et circulation générale rue des Jardiniers, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,24/10/2025,23/10/2025,50,True,True,True,44433,s3://parisarretes/arretes/2025/2025_T_17903_63d98de8.pdf,2025-10-25T08:15:04.454317
2025 T 17921,"Arrêté n° 2025 T 17921 modifiant, à titre provisoire, les règles de stationnement et de circulation générale avenues Ambroise Rendu et de la Porte Brunet, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,52,True,True,True,44427,s3://parisarretes/arretes/2025/2025_T_17921_8de2127b.pdf,2025-10-25T08:15:04.465359
2025 T 17897,"Arrêté n° 2025 T 17897 modifiant, à titre provisoire, les règles de circulation générale, des véhicules de transports en commun et des cycles avenue de la porte de Châtillon, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,50,True,True,True,44431,s3://parisarretes/arretes/2025/2025_T_17897_26468133.pdf,2025-10-25T08:15:04.454848
2025 T 17930,"Arrêté n° 2025 T 17930 modifiant, à titre provisoire, les règles de circulation générale des cycles et des bus avenue de la Porte d'Aubervilliers, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,50,True,True,True,44428,s3://parisarretes/arretes/2025/2025_T_17930_bfcf4976.pdf,2025-10-25T08:15:04.464857
2025 T 17723,"Arrêté n° 2025 T 17723 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale boulevard Sérurier, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,51,True,True,True,44424,s3://parisarretes/arretes/2025/2025_T_17723_3e13105d.pdf,2025-10-25T08:15:04.466328
2025 T 17900,"Arrêté n° 2025 T 17900 modifiant, à titre provisoire, les règles de circulation générale et des véhicules de transports en commun rue du commandant René Mouchotte, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,51,True,True,True,44423,s3://parisarretes/arretes/2025/2025_T_17900_f347832b.pdf,2025-10-25T08:15:04.468043
2025 T 17823,"Arrêté n° 2025 T 17823 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue de Crimée, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,103,True,True,True,44425,s3://parisarretes/arretes/2025/2025_T_17823_993a404c.pdf,2025-10-25T08:15:04.465852
2025 T 17902,"Arrêté n° 2025 T 17902 modifiant, à titre provisoire, la règle de stationnement avenue de Wagram, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,24/10/2025,22/10/2025,105,False,True,True,44422,s3://parisarretes/arretes/2025/2025_T_17902_8439cdcc.pdf,2025-10-25T08:15:04.468540
2025 T 17899,"Arrêté n° 2025 T 17899 modifiant, à titre provisoire, les règles de circulation avenue du Maine, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,49,True,True,True,44421,s3://parisarretes/arretes/2025/2025_T_17899_674b4a2b.pdf,2025-10-25T08:15:04.469033
2025 T 17884,"Arrêté n° 2025 T 17884 modifiant, à titre provisoire, la règle de stationnement rue Curnonsky, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,24/10/2025,21/10/2025,104,False,True,True,44417,s3://parisarretes/arretes/2025/2025_T_17884_ec102f03.pdf,2025-10-25T08:15:28.999449
2025 T 17878,"Arrêté n° 2025 T 17878 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale avenue de Flandre, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,50,True,True,True,44415,s3://parisarretes/arretes/2025/2025_T_17878_28d7e5b8.pdf,2025-10-25T08:15:28.999943
2025 T 17873,"Arrêté n° 2025 T 17873 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue de Crimée, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,49,True,True,True,44414,s3://parisarretes/arretes/2025/2025_T_17873_cf715f5e.pdf,2025-10-25T08:15:29.000418
2025 T 17909,"Arrêté n° 2025 T 17909 modifiant, à titre provisoire, les règles de stationnement et de circulation générale boulevard Edgar Quinet, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,22/10/2025,60,True,True,True,44418,s3://parisarretes/arretes/2025/2025_T_17909_bc84c6c6.pdf,2025-10-25T08:15:28.999011
2025 T 17886,"Arrêté n° 2025 T 17886 modifiant, à titre provisoire, la règle du stationnement rue de Rome, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,24/10/2025,21/10/2025,103,False,True,True,44419,s3://parisarretes/arretes/2025/2025_T_17886_3672d5a0.pdf,2025-10-25T08:15:28.998271
2025 T 17888,"Arrêté n° 2025 T 17888 modifiant, à titre provisoire, les règles de la circulation générale et du stationnement avenue Niel, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,24/10/2025,21/10/2025,104,True,True,True,44420,s3://parisarretes/arretes/2025/2025_T_17888_fe2d3132.pdf,2025-10-25T08:15:28.997740
2025 T 17821,"Arrêté n° 2025 T 17821 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale Rue Curial, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,23/10/2025,50,True,True,True,44413,s3://parisarretes/arretes/2025/2025_T_17821_1336378b.pdf,2025-10-25T08:15:29.000931
2025 T 17817,"Arrêté n° 2025 T 17817 modifiant, à titre provisoire, les règles de stationnement, rue Marceline Desbordes-Valmore, à Paris 16e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,51,False,True,True,44412,s3://parisarretes/arretes/2025/2025_T_17817_ad6b62dd.pdf,2025-10-25T08:15:29.001378
2025 P 17085,"Arrêté n° 2025 P 17085 instituant une zone de rencontre passage de Ménilmontant, à Paris 11e.",Direction de la Voirie et des Déplacements,François WOUTS,24/10/2025,23/10/2025,49,False,True,False,44411,s3://parisarretes/arretes/2025/2025_P_17085_87a177bb.pdf,2025-10-25T08:15:29.001843
2025 T 17839,"Arrêté n° 2025 T 17839 modifiant, à titre provisoire, les règles de la circulation générale et de stationnement rue de l'Avre et rue Letellier, à Paris 15e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,53,True,True,True,44410,s3://parisarretes/arretes/2025/2025_T_17839_1cabc039.pdf,2025-10-25T08:15:29.002286
2025 T 17885,"Arrêté n° 2025 T 17885 modifiant, à titre provisoire, les règles de stationnement rue Maurice Rouvier, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,24/10/2025,21/10/2025,49,False,True,True,44405,s3://parisarretes/arretes/2025/2025_T_17885_34d02580.pdf,2025-10-25T08:15:55.536827
2025 T 17870,"Arrêté n° 2025 T 17870 modifiant, à titre provisoire, les règles de stationnement rue Decamps, à Paris 16e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,21/10/2025,125,False,True,True,44406,s3://parisarretes/arretes/2025/2025_T_17870_2c137cf7.pdf,2025-10-25T08:15:55.536175
2025 T 17863,"Arrêté n° 2025 T 17863 modifiant, à titre provisoire, les règles de stationnement boulevard Garibaldi, à Paris 15e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,21/10/2025,105,False,True,True,44407,s3://parisarretes/arretes/2025/2025_T_17863_077f2438.pdf,2025-10-25T08:15:55.534980
